순위,곡명,가수,앨범
63,봄날,방탄소년단,YOU NEVER WALK ALONE
64,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
65,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
66,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
67,미워요,임영웅,미워요 & 소나기
68,12 : 45 (Stripped),etham,12 : 45 (Stripped)
69,멜로디,ASH ISLAND,멜로디
70,잊었니,임영웅,사랑의 콜센타 PART60
71,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
73,Lovesick Girls,BLACKPINK,THE ALBUM
74,Kiss Me More (Feat. SZA),Doja Cat,Kiss Me More
75,러브 (Prod. by 로코베리),로꼬 & 이성경,Love (Prod. by Rocoberry)
76,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
77,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
78,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3 (tvN 목요드라마)
79,사랑의 아픔 딛고,임영웅,사랑의 콜센타 PART65
80,은하수를 닮은 너에게 (Feat. 몰리디),경서예지,은하수를 닮은 너에게
81,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
82,넌 좋은 사람,SG워너비,넌 좋은 사람
83,라라라,SG워너비,My Friend
84,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic,Skate
85,밤이 되니까,원슈타인,밤이 되니까
86,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),쇼미더머니 9 Episode 1
87,ON,방탄소년단,MAP OF THE SOUL : 7
88,Coin,아이유 (IU),IU 5th Album 'LILAC'
89,목로주점,임영웅,사랑의 콜센타 PART50
90,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
91,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
92,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
93,잠이 오질 않네요,장범준,잠이 오질 않네요
94,고백,장범준,첫 번째 '고백'
95,parachute,John K,love ＋ everything else
96,Memories,Maroon 5,Memories
97,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
98,아무노래,지코 (ZICO),아무노래
99,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
100,Dance Monkey,Tones And I,The Kids Are Coming
101,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
102,너를 만나,폴킴,너를 만나
103,허리춤,오반 (OVAN),허리춤
104,벌써 일년 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
105,제자리 걸음,V.O.S,제자리 걸음
106,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
107,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
108,다시 사랑할 수 있을까,백지영 & 이홍기 (FT아일랜드),다시 사랑할 수 있을까
109,전쟁터 (With 이선희),AKMU (악뮤),NEXT EPISODE
110,Way Back Home,숀 (SHAUN),Take
111,DNA,방탄소년단,LOVE YOURSELF 承 'Her'
112,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
113,Tiny Riot,Sam Ryder,Tiny Riot
114,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
115,Leave Before You Love Me,Marshmello & Jonas Brothers,Leave Before You Love Me
116,너무 보고싶어,전상근,너무 보고싶어 (너에게 하고 싶은 말 X 전상근)
117,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer'
118,마.피.아. In the morning,ITZY (있지),GUESS WHO
119,Don't Start Now,Dua Lipa,Future Nostalgia
120,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
121,만개 (Prod. 신지후),김호중,우리家
122,우린 어쩌다 헤어진 걸까,허각,Hello
123,On The Ground,로제 (ROSE),R
124,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코),Rainy day
125,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
126,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
127,그냥 안아달란 말야,다비치,그냥 안아달란 말야
128,내사람 : Partner For Life,SG워너비,The 3rd Masterpiece
129,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
130,사이렌,호미들,Ghetto Kids
131,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
132,Bad,Christopher,Under the Surface
133,Bad Boy,청하 & Christopher,Bad Boy
134,어떻게 지내 (Prod. by VAN.C),오반 (OVAN),어떻게 지내
135,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
136,Shape Of You,Ed Sheeran,÷ (Deluxe)
137,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 'Tear'
138,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
139,사실 나는 (Feat. 전건호),경서예지,사실 나는
140,여행,볼빨간사춘기,Red Diary Page.2
141,LO$ER=LO♡ER,투모로우바이투게더,혼돈의 장 : FIGHT OR ESCAPE
142,You can't sit with us,선미,6분의1
143,나보다 더 사랑해요,김호중,나보다 더 사랑해요
144,밤편지,아이유 (IU),밤편지
145,Ashes,Stellar,Ashes
146,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
147,너에게,유연석,슬기로운 의사생활 시즌2 OST Part 7 (tvN 목요드라마)
148,주저하는 연인들을 위해,잔나비,전설
149,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
150,How You Like That,BLACKPINK,How You Like That
151,난 너를 사랑해,MSG워너비,난 너를 사랑해
152,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
153,Maniac,Conan Gray,Maniac
154,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
155,Stuck With U,Ariana Grande & Justin Bieber,Stuck with U
156,THRILL RIDE,더보이즈 (THE BOYZ),THE BOYZ 6TH MINI ALBUM ［THRILL-ING］
157,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4 (tvN 목요드라마)
158,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
159,Comethru,Jeremy Zucker,"Summer,"
160,고맙소,김호중,내일은 미스터트롯 결승전 베스트
161,불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
162,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)
163,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
164,째깍 째깍 째깍 (With Beenzino),AKMU (악뮤),NEXT EPISODE
165,체념,MSG워너비 (정상동기),MSG워너비 TOP 8 경연곡
166,Love poem,아이유 (IU),Love poem
167,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
168,다시 여기 바닷가,싹쓰리 (유두래곤 & 린다G & 비룡),다시 여기 바닷가
169,All Falls Down (Feat. Juliander),Alan Walker & Noah Cyrus & Digital Farm Animals,Different World
170,Black Mamba,aespa,Black Mamba
171,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
172,On My Way,Alan Walker & Sabrina Carpenter & Farruko,On My Way
173,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
174,Way Back Home (2021),런치,Way Back Home (2021)
175,첫눈처럼 너에게 가겠다,에일리 (AILEE),도깨비 OST Part 9 (tvN 금토드라마)
176,Pose,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
177,살았소,김호중,살았소
178,돌림노래 (Feat. DEAN),아이유 (IU),IU 5th Album 'LILAC'
179,살다가,SG워너비,2집 살다가
180,Painkiller,Ruel,Painkiller
181,팔레트 (Feat. G-DRAGON),아이유 (IU),Palette
182,우산이 없어요,김호중,우리家
183,술 한잔 해요,경서 (경서예지) & MJ (써니사이드),술 한잔 해요
184,BENCH (With Zion.T),AKMU (악뮤),NEXT EPISODE
185,할무니,김호중,할무니
186,Mood (Feat. Iann Dior),24KGoldn,El Dorado
187,여름 쏙 (Popping),온앤오프 (ONF),SUMMER POPUP ALBUM (POPPING)
188,Downtown Baby,블루 (BLOO),Downtown Baby
189,HIP,마마무(Mamamoo),reality in BLACK
190,WE GO,프로미스나인,9 WAY TICKET
191,노래방에서,장범준,장범준 3집
192,YOUTH,Troye Sivan,Blue Neighbourhood (Deluxe Edition)
193,Knock On Wood,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
194,둘 중에 골라 (Summer or Summer),효린 & 다솜,둘 중에 골라 (Summer or Summer)
195,도망가자 (Run With Me),선우정아,Serenade
196,아무도 잠들지 마라 (Nessun Dorma),김호중,The Classic Album
197,All I Wanna Do (K) (Feat. Hoody & Loco),박재범,EVERYTHING YOU WANTED
198,해야 해,2PM,MUST
199,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12 (tvN 목요드라마)
200,파도,폴킴,첫번째 수학여행 'Summer : re'
